Code,TRGR10T,TRIT10T,TRBD10T,TRES10T,TRIE10T,TRFR10T,TRPT10T
31/05/1994,20.38,10.03,6.952,9.84,8.67,7.34,10.395
30/06/1994,20.38,10.7,7.082,10.51,8.82,7.44,11.392
29/07/1994,21.13,10.86,6.823,10.41,8.62,7.3,11.438
31/08/1994,21.5,11.84,7.225,10.97,8.63,7.89,12.113
30/09/1994,21.5,11.717,7.598,11.139,9.09,8.127,11.958
31/10/1994,20.67,12.018,7.632,11.116,8.81,8.284,11.859
30/11/1994,19.83,12.031,7.319,11.133,8.56,7.943,11.739
30/12/1994,19.83,12.397,7.621,11.779,8.97,8.281,12.318
31/01/1995,19,12.372,7.438,11.738,8.85,8.136,12.268
28/02/1995,19,12.971,7.362,11.761,8.93,8.003,11.867
31/03/1995,19,13.425,7.189,12.272,9.06,7.912,12.53
28/04/1995,18,13.097,7.039,11.997,8.86,7.816,12.646
31/05/1995,17.58,12.227,6.647,11.583,8.32,7.432,12.241
30/06/1995,17.58,12.643,6.94,11.786,8.77,7.605,12.367
31/07/1995,16.72,12.099,6.785,11.247,8.5,7.473,11.856
31/08/1995,16.19,11.754,6.715,11.07,8.25,7.358,11.611
29/09/1995,15.72,11.879,6.603,10.932,8.24,7.487,11.577
31/10/1995,15.56,11.901,6.44,10.85,8,7.311,11.532
30/11/1995,15.56,11.483,6.169,10.299,7.57,6.959,10.626
29/12/1995,15.35,10.847,6.031,9.736,7.49,6.696,10.038
31/01/1996,15.3,10.253,5.896,9.568,7.34,6.389,9.632
29/02/1996,15.3,10.572,6.388,9.654,7.92,6.682,9.821
29/03/1996,14.9,10.856,6.438,9.731,8.06,6.618,9.745
30/04/1996,14.8,9.847,6.339,9.136,7.46,6.394,8.862
31/05/1996,14.8,9.642,6.496,9.196,7.7,6.495,8.979
28/06/1996,14.95,9.41,6.505,8.821,7.49,6.499,8.759
31/07/1996,14.61,9.498,6.373,8.906,7.52,6.393,8.655
30/08/1996,14.61,9.557,6.386,8.848,7.5,6.499,8.703
30/09/1996,14.23,8.606,6.096,7.918,6.87,6.114,7.884
31/10/1996,14,8.15,6,7.788,6.82,5.973,7.555
29/11/1996,13.36,7.547,5.644,7.026,6.42,5.634,6.955
31/12/1996,12.42,7.586,5.779,6.804,6.59,5.735,6.867
31/01/1997,12.42,7.243,5.751,6.692,6.53,5.598,6.678
28/02/1997,10.87,7.459,5.521,6.91,6.38,5.379,6.942
31/03/1997,9.45,7.754,6.005,7.131,6.79,5.772,6.971
30/04/1997,9.33,7.632,5.827,6.863,6.62,5.77,6.71
30/05/1997,9.33,7.332,5.921,6.685,6.59,5.792,6.555
30/06/1997,9.17,6.85,5.71,6.37,6.44,5.587,6.384
31/07/1997,9.51,6.473,5.52,6.18,6.23,5.438,6.192
29/08/1997,9.56,6.71,5.697,6.33,6.27,5.61,6.376
30/09/1997,9.25,6.184,5.522,5.882,5.88,5.482,5.939
31/10/1997,9.77,6.256,5.597,6.04,5.96,5.609,6.009
28/11/1997,9.8,5.949,5.454,5.8,5.75,5.451,5.811
31/12/1997,10.12,5.643,5.361,5.632,5.48,5.339,5.621
30/01/1998,10.45,5.45,5.053,5.329,5.3,5.097,5.322
27/02/1998,10.44,5.337,4.971,5.176,5.17,4.994,5.154
31/03/1998,8.07,5.182,4.921,5.103,5.102,4.976,5.071
30/04/1998,8.02,5.303,4.98,5.23,5.241,5.12,5.216
29/05/1998,7.84,5.153,4.867,5.051,5.169,4.918,5.079
30/06/1998,7.93,5.066,4.784,5.016,5.055,4.841,5.043
31/07/1998,7.65,4.931,4.625,4.899,4.931,4.748,4.956
31/08/1998,8.72,4.748,4.213,4.666,4.628,4.317,4.653
30/09/1998,8.49,4.389,3.831,4.273,4.322,4.003,4.314
