var,date,value,table,type
Interest income,2004-09-30,23222,Tab 1a,All ADIs
Interest income,2004-12-31,23474.1,Tab 1a,All ADIs
Interest income,2005-03-31,24369.7,Tab 1a,All ADIs
Interest income,2005-06-30,24995.9,Tab 1a,All ADIs
Interest income,2005-09-30,27349.1,Tab 1a,All ADIs
Interest income,2005-12-31,28103.5,Tab 1a,All ADIs
Interest income,2006-03-31,28723.3,Tab 1a,All ADIs
Interest income,2006-06-30,30120.6,Tab 1a,All ADIs
Interest income,2006-09-30,35146.8,Tab 1a,All ADIs
Interest income,2006-12-31,33732.3,Tab 1a,All ADIs
Interest income,2007-03-31,36252.5,Tab 1a,All ADIs
Interest income,2007-06-30,37624,Tab 1a,All ADIs
Interest income,2007-09-30,41832.5,Tab 1a,All ADIs
Interest income,2007-12-31,44548,Tab 1a,All ADIs
Interest income,2008-03-31,48981.7,Tab 1a,All ADIs
Interest income,2008-06-30,49480.6,Tab 1a,All ADIs
Interest income,2008-09-30,53706.3,Tab 1a,All ADIs
Interest income,2008-12-31,49066.1,Tab 1a,All ADIs
Interest income,2009-03-31,39741.2,Tab 1a,All ADIs
Interest income,2009-06-30,34762.9,Tab 1a,All ADIs
Interest income,2009-09-30,35247.1,Tab 1a,All ADIs
Interest income,2009-12-31,37256.1,Tab 1a,All ADIs
Interest income,2010-03-31,38896.8,Tab 1a,All ADIs
Interest income,2010-06-30,42326.8,Tab 1a,All ADIs
Interest income,2010-09-30,43770.6,Tab 1a,All ADIs
Interest income,2010-12-31,45414.2,Tab 1a,All ADIs
Interest income,2011-03-31,45629.3,Tab 1a,All ADIs
Interest income,2011-06-30,46578.2,Tab 1a,All ADIs
Interest income,2011-09-30,47492.9,Tab 1a,All ADIs
Interest income,2011-12-31,47204.6,Tab 1a,All ADIs
Interest income,2012-03-31,45055.7,Tab 1a,All ADIs
Interest income,2012-06-30,44437.7,Tab 1a,All ADIs
Interest income,2012-09-30,43099.5,Tab 1a,All ADIs
Interest income,2012-12-31,41974.2,Tab 1a,All ADIs
Interest income,2013-03-31,40141.2,Tab 1a,All ADIs
Interest income,2013-06-30,40430.9,Tab 1a,All ADIs
Interest income,2013-09-30,39780.1,Tab 1a,All ADIs
