var,date,value,table,type
Cash and liquid assets,2004-09-30,112962.7,Tab 1b,All ADIs
Cash and liquid assets,2004-12-31,123695,Tab 1b,All ADIs
Cash and liquid assets,2005-03-31,112290.4,Tab 1b,All ADIs
Cash and liquid assets,2005-06-30,119140.7,Tab 1b,All ADIs
Cash and liquid assets,2005-09-30,121549,Tab 1b,All ADIs
Cash and liquid assets,2005-12-31,119836,Tab 1b,All ADIs
Cash and liquid assets,2006-03-31,144320,Tab 1b,All ADIs
Cash and liquid assets,2006-06-30,142347.5,Tab 1b,All ADIs
Cash and liquid assets,2006-09-30,149827.1,Tab 1b,All ADIs
Cash and liquid assets,2006-12-31,148190.5,Tab 1b,All ADIs
Cash and liquid assets,2007-03-31,163050.2,Tab 1b,All ADIs
Cash and liquid assets,2007-06-30,168265.7,Tab 1b,All ADIs
Cash and liquid assets,2007-09-30,194658.6,Tab 1b,All ADIs
Cash and liquid assets,2007-12-31,183517.4,Tab 1b,All ADIs
Cash and liquid assets,2008-03-31,201812,Tab 1b,All ADIs
Cash and liquid assets,2008-06-30,187214.7,Tab 1b,All ADIs
Cash and liquid assets,2008-09-30,222284.8,Tab 1b,All ADIs
Cash and liquid assets,2008-12-31,263687.7,Tab 1b,All ADIs
Cash and liquid assets,2009-03-31,197043.6,Tab 1b,All ADIs
Cash and liquid assets,2009-06-30,216943.7,Tab 1b,All ADIs
Cash and liquid assets,2009-09-30,196810,Tab 1b,All ADIs
Cash and liquid assets,2009-12-31,219400.2,Tab 1b,All ADIs
Cash and liquid assets,2010-03-31,191477.3,Tab 1b,All ADIs
Cash and liquid assets,2010-06-30,203062,Tab 1b,All ADIs
Cash and liquid assets,2010-09-30,196989.5,Tab 1b,All ADIs
Cash and liquid assets,2010-12-31,203702.9,Tab 1b,All ADIs
Cash and liquid assets,2011-03-31,196672.2,Tab 1b,All ADIs
Cash and liquid assets,2011-06-30,214407.5,Tab 1b,All ADIs
Cash and liquid assets,2011-09-30,228527.6,Tab 1b,All ADIs
Cash and liquid assets,2011-12-31,224593.7,Tab 1b,All ADIs
Cash and liquid assets,2012-03-31,230908.7,Tab 1b,All ADIs
Cash and liquid assets,2012-06-30,263604.5,Tab 1b,All ADIs
Cash and liquid assets,2012-09-30,229935.8,Tab 1b,All ADIs
Cash and liquid assets,2012-12-31,276002.8,Tab 1b,All ADIs
Cash and liquid assets,2013-03-31,257378.9,Tab 1b,All ADIs
Cash and liquid assets,2013-06-30,296647.3,Tab 1b,All ADIs
Cash and liquid assets,2013-09-30,264769.2,Tab 1b,All ADIs
Cash and liquid assets,2013-12-31,320525.6,Tab 1b,All ADIs
Cash and liquid assets,2014-03-31,294125.1,Tab 1b,All ADIs
Cash and liquid assets,2014-06-30,321091.4,Tab 1b,All ADIs
Cash and liquid assets,2014-09-30,302841.8,Tab 1b,All ADIs
Cash and liquid assets,2014-12-31,325860.9,Tab 1b,All ADIs
Cash and liquid assets,2015-03-31,329233.8,Tab 1b,All ADIs
Cash and liquid assets,2015-06-30,344277.4,Tab 1b,All ADIs
Cash and liquid assets,2015-09-30,330362.9,Tab 1b,All ADIs
Cash and liquid assets,2015-12-31,390774.4,Tab 1b,All ADIs
Cash and liquid assets,2016-03-31,346371.9,Tab 1b,All ADIs
Cash and liquid assets,2016-06-30,373445.1,Tab 1b,All ADIs
Cash and liquid assets,2016-09-30,332339.1,Tab 1b,All ADIs
Cash and liquid assets,2016-12-31,372519.7,Tab 1b,All ADIs
Cash and liquid assets,2017-03-31,370489.1,Tab 1b,All ADIs
Cash and liquid assets,2017-06-30,378319.9,Tab 1b,All ADIs
Cash and liquid assets,2017-09-30,348191.3,Tab 1b,All ADIs
Cash and liquid assets,2017-12-31,355094.8,Tab 1b,All ADIs
Cash and liquid assets,2018-03-31,357204.3,Tab 1b,All ADIs
Cash and liquid assets,2018-06-30,371839.9,Tab 1b,All ADIs
Cash and liquid assets,2018-09-30,355916,Tab 1b,All ADIs
Cash and liquid assets,2018-12-31,401134.6,Tab 1b,All ADIs
Cash and liquid assets,2019-03-31,376559.7,Tab 1b,All ADIs
Cash and liquid assets,2019-06-30,373667.9,Tab 1b,All ADIs
Cash and liquid assets,2019-09-30,390958.3,Tab 1b,All ADIs
Cash and liquid assets,2019-12-31,418996.8,Tab 1b,All ADIs
Cash and liquid assets,2020-03-31,596912.9,Tab 1b,All ADIs
Cash and liquid assets,2020-06-30,522531.6,Tab 1b,All ADIs
Cash and liquid assets,2020-09-30,529328.8,Tab 1b,All ADIs
Cash and liquid assets,2020-12-31,567032.3,Tab 1b,All ADIs
Cash and liquid assets,2021-03-31,569651.7,Tab 1b,All ADIs
Cash and liquid assets,2021-06-30,706358.9,Tab 1b,All ADIs
Cash and liquid assets,2021-09-30,754734.5,Tab 1b,All ADIs
Cash and liquid assets,2021-12-31,871615.4,Tab 1b,All ADIs
Cash and liquid assets,2022-03-31,882074.6,Tab 1b,All ADIs
Cash and liquid assets,2022-06-30,908039.3,Tab 1b,All ADIs
Cash and liquid assets,2022-09-30,942860.5,Tab 1b,All ADIs
Cash and liquid assets,2022-12-31,957223.3,Tab 1b,All ADIs
