F7  BUSINESS LENDING RATES,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Title,Lending rates; Business finance; Outstanding; Small business; Total,"Lending rates; Business finance; Outstanding; Small business; of which, Residentially secured",Lending rates; Business finance; Outstanding; Small business; Fixed-rate,Lending rates; Business finance; Outstanding; Small business; Variable-rate,Lending rates; Business finance; Outstanding; Medium business; Total,Lending rates; Business finance; Outstanding; Medium business; Fixed-rate,Lending rates; Business finance; Outstanding; Medium business; Variable-rate,Lending rates; Business finance; Outstanding; Large business; Total,Lending rates; Business finance; Outstanding; Large business; Fixed-rate,Lending rates; Business finance; Outstanding; Large business; Variable-rate,Lending rates; Business finance; New loans funded in the month; Small business; Total,"Lending rates; Business finance; New loans funded in the month; Small business; of which, Residentially secured",Lending rates; Business finance; New loans funded in the month; Small business; Fixed-rate,Lending rates; Business finance; New loans funded in the month; Small business; Variable-rate,Lending rates; Business finance; New loans funded in the month; Medium business; Total,Lending rates; Business finance; New loans funded in the month; Medium business; Fixed-rate,Lending rates; Business finance; New loans funded in the month; Medium business; Variable-rate,Lending rates; Business finance; New loans funded in the month; Large business; Total,Lending rates; Business finance; New loans funded in the month; Large business; Fixed-rate,Lending rates; Business finance; New loans funded in the month; Large business; Variable-rate,,,,,,,,
Description,Lending rates; Business finance; Outstanding; Small business; Total,"Lending rates; Business finance; Outstanding; Small business; of which, Residentially secured",Lending rates; Business finance; Outstanding; Small business; Fixed-rate,Lending rates; Business finance; Outstanding; Small business; Variable-rate,Lending rates; Business finance; Outstanding; Medium business; Total,Lending rates; Business finance; Outstanding; Medium business; Fixed-rate,Lending rates; Business finance; Outstanding; Medium business; Variable-rate,Lending rates; Business finance; Outstanding; Large business; Total,Lending rates; Business finance; Outstanding; Large business; Fixed-rate,Lending rates; Business finance; Outstanding; Large business; Variable-rate,Lending rates; Business finance; New loans funded in the month; Small business; Total,"Lending rates; Business finance; New loans funded in the month; Small business; of which, Residentially secured",Lending rates; Business finance; New loans funded in the month; Small business; Fixed-rate,Lending rates; Business finance; New loans funded in the month; Small business; Variable-rate,Lending rates; Business finance; New loans funded in the month; Medium business; Total,Lending rates; Business finance; New loans funded in the month; Medium business; Fixed-rate,Lending rates; Business finance; New loans funded in the month; Medium business; Variable-rate,Lending rates; Business finance; New loans funded in the month; Large business; Total,Lending rates; Business finance; New loans funded in the month; Large business; Fixed-rate,Lending rates; Business finance; New loans funded in the month; Large business; Variable-rate,,,,,,,,
Frequency,Monthly,Monthly,Monthly,Monthly,Monthly,Monthly,Monthly,Monthly,Monthly,Monthly,Monthly,Monthly,Monthly,Monthly,Monthly,Monthly,Monthly,Monthly,Monthly,Monthly,,,,,,,,
Type,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,,,,,,,,
Units,Per cent per annum,Per cent per annum,Per cent per annum,Per cent per annum,Per cent per annum,Per cent per annum,Per cent per annum,Per cent per annum,Per cent per annum,Per cent per annum,Per cent per annum,Per cent per annum,Per cent per annum,Per cent per annum,Per cent per annum,Per cent per annum,Per cent per annum,Per cent per annum,Per cent per annum,Per cent per annum,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Source,"APRA, RBA","APRA, RBA","APRA, RBA","APRA, RBA","APRA, RBA","APRA, RBA","APRA, RBA","APRA, RBA","APRA, RBA","APRA, RBA","APRA, RBA","APRA, RBA","APRA, RBA","APRA, RBA","APRA, RBA","APRA, RBA","APRA, RBA","APRA, RBA","APRA, RBA","APRA, RBA",,,,,,,,
Publication date,08-Aug-2025,08-Aug-2025,08-Aug-2025,08-Aug-2025,08-Aug-2025,08-Aug-2025,08-Aug-2025,08-Aug-2025,08-Aug-2025,08-Aug-2025,08-Aug-2025,08-Aug-2025,08-Aug-2025,08-Aug-2025,08-Aug-2025,08-Aug-2025,08-Aug-2025,08-Aug-2025,08-Aug-2025,08-Aug-2025,,,,,,,,
Series ID,FLRBFOSBT,FLRBFOSBR,FLRBFOSBF,FLRBFOSBV,FLRBFOMBT,FLRBFOMBF,FLRBFOMBV,FLRBFOLBT,FLRBFOLBF,FLRBFOLBV,FLRBFNSBT,FLRBFNSBR,FLRBFNSBF,FLRBFNSBV,FLRBFNMBT,FLRBFNMBF,FLRBFNMBV,FLRBFNLBT,FLRBFNLBF,FLRBFNLBV,,,,,,,,
31/07/2019,5.40,4.85,5.46,5.37,3.93,4.22,3.81,2.80,3.34,2.71,4.61,4.41,5.03,4.32,2.71,2.79,2.62,2.29,2.41,2.26,,,,,,,,
