F8  PERSONAL LENDING RATES,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Title,Lending rates; Personal credit; Outstanding; Credit card balances incurring interest; Total,Lending rates; Personal credit; Outstanding; Finance leases; Total,Lending rates; Personal credit; Outstanding; Margin lending; Total,Lending rates; Personal credit; Outstanding; Fixed-term loans; Total,"Lending rates; Personal credit; Outstanding; Fixed-term loans; of which, Residentially secured",Lending rates; Personal credit; Outstanding; Fixed-term loans; Fixed-rate,Lending rates; Personal credit; Outstanding; Fixed-term loans; Variable-rate,Lending rates; Personal credit; Outstanding; Other revolving credit; Total,"Lending rates; Personal credit; Outstanding; Other revolving credit; of which, Residentially secured",Lending rates; Personal credit; Outstanding; Other revolving credit; Fixed-rate,Lending rates; Personal credit; Outstanding; Other revolving credit; Variable-rate,Lending rates; Personal credit; New loans funded in the month; Finance leases; Total,Lending rates; Personal credit; New loans funded in the month; Margin lending; Total,Lending rates; Personal credit; New loans funded in the month; Fixed-term loans; Total,"Lending rates; Personal credit; New loans funded in the month; Fixed-term loans; of which, Residentially secured",Lending rates; Personal credit; New loans funded in the month; Fixed-term loans; Fixed-rate,Lending rates; Personal credit; New loans funded in the month; Fixed-term loans; Variable-rate,,,,,,,,,,,
Description,Lending rates; Personal credit; Outstanding; Credit card balances incurring interest; Total,Lending rates; Personal credit; Outstanding; Finance leases; Total,Lending rates; Personal credit; Outstanding; Margin lending; Total,Lending rates; Personal credit; Outstanding; Fixed-term loans; Total,"Lending rates; Personal credit; Outstanding; Fixed-term loans; of which, Residentially secured",Lending rates; Personal credit; Outstanding; Fixed-term loans; Fixed-rate,Lending rates; Personal credit; Outstanding; Fixed-term loans; Variable-rate,Lending rates; Personal credit; Outstanding; Other revolving credit; Total,"Lending rates; Personal credit; Outstanding; Other revolving credit; of which, Residentially secured",Lending rates; Personal credit; Outstanding; Other revolving credit; Fixed-rate,Lending rates; Personal credit; Outstanding; Other revolving credit; Variable-rate,Lending rates; Personal credit; New loans funded in the month; Finance leases; Total,Lending rates; Personal credit; New loans funded in the month; Margin lending; Total,Lending rates; Personal credit; New loans funded in the month; Fixed-term loans; Total,"Lending rates; Personal credit; New loans funded in the month; Fixed-term loans; of which, Residentially secured",Lending rates; Personal credit; New loans funded in the month; Fixed-term loans; Fixed-rate,Lending rates; Personal credit; New loans funded in the month; Fixed-term loans; Variable-rate,,,,,,,,,,,
Frequency,Monthly,Monthly,Monthly,Monthly,Monthly,Monthly,Monthly,Monthly,Monthly,Monthly,Monthly,Monthly,Monthly,Monthly,Monthly,Monthly,Monthly,,,,,,,,,,,
Type,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,,,,,,,,,,,
Units,Per cent per annum,Per cent per annum,Per cent per annum,Per cent per annum,Per cent per annum,Per cent per annum,Per cent per annum,Per cent per annum,Per cent per annum,Per cent per annum,Per cent per annum,Per cent per annum,Per cent per annum,Per cent per annum,Per cent per annum,Per cent per annum,Per cent per annum,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Source,"APRA, RBA","APRA, RBA","APRA, RBA","APRA, RBA","APRA, RBA","APRA, RBA","APRA, RBA","APRA, RBA","APRA, RBA","APRA, RBA","APRA, RBA","APRA, RBA","APRA, RBA","APRA, RBA","APRA, RBA","APRA, RBA","APRA, RBA",,,,,,,,,,,
Publication date,08-Aug-2025,08-Aug-2025,08-Aug-2025,08-Aug-2025,08-Aug-2025,08-Aug-2025,08-Aug-2025,08-Aug-2025,08-Aug-2025,08-Aug-2025,08-Aug-2025,08-Aug-2025,08-Aug-2025,08-Aug-2025,08-Aug-2025,08-Aug-2025,08-Aug-2025,,,,,,,,,,,
Series ID,FLRPFOCIT,FLRPFOFLT,FLRPFOMLT,FLRPFOFTT,FLRPFOFTR,FLRPFOFTF,FLRPFOFTV,FLRPFOORT,FLRPFOORR,FLRPFOORF,FLRPFOORV,FLRPFNFLT,FLRPFNMLT,FLRPFNFTT,FLRPFNFTR,FLRPFNFTF,FLRPFNFTV,,,,,,,,,,,
31/07/2019,16.99,6.71,5.08,7.34,4.10,8.07,6.71,6.47,5.14,3.12,6.95,6.75,4.68,8.27,3.60,8.23,8.33,,,,,,,,,,,
31/08/2019,17.07,6.65,5.04,7.31,4.07,8.33,6.35,6.71,5.13,5.05,7.01,5.78,4.69,8.23,3.66,8.61,7.56,,,,,,,,,,,
30/09/2019,17.01,6.60,5.02,7.23,4.06,8.19,6.34,6.58,5.12,5.06,6.86,5.57,4.21,8.01,3.64,8.24,7.61,,,,,,,,,,,
31/10/2019,17.01,6.51,4.99,6.98,3.91,8.12,5.96,6.49,4.92,5.08,6.77,5.58,4.21,7.59,3.54,8.02,6.98,,,,,,,,,,,
30/11/2019,17.07,6.43,4.91,6.97,3.89,8.16,5.90,6.50,4.91,5.13,6.77,5.55,4.12,7.33,3.49,8.16,6.16,,,,,,,,,,,
31/12/2019,17.08,6.37,4.91,6.96,3.88,8.16,5.87,6.50,4.91,5.21,6.77,5.49,4.62,7.54,3.47,8.18,6.59,,,,,,,,,,,
31/01/2020,17.19,6.32,4.91,6.94,3.86,8.17,5.84,6.46,4.91,5.24,6.73,5.50,4.73,7.73,3.47,8.25,6.87,,,,,,,,,,,
29/02/2020,17.15,6.27,4.89,6.92,3.84,8.15,5.81,6.49,4.91,5.28,6.76,5.46,4.01,7.74,3.42,8.07,7.16,,,,,,,,,,,
31/03/2020,17.14,6.21,4.81,6.75,3.59,8.13,5.52,6.40,4.66,5.31,6.66,5.34,4.25,7.27,3.16,7.85,6.45,,,,,,,,,,,
