var,date,value,table,type
Net interest income ($m),2004-09-30,7684.8,Tab 1g,All ADIs
Net interest income ($m),2004-12-31,7866.7,Tab 1g,All ADIs
Net interest income ($m),2005-03-31,7896.4,Tab 1g,All ADIs
Net interest income ($m),2005-06-30,8040.7,Tab 1g,All ADIs
Net interest income ($m),2005-09-30,8560.7,Tab 1g,All ADIs
Net interest income ($m),2005-12-31,8553,Tab 1g,All ADIs
Net interest income ($m),2006-03-31,8517.1,Tab 1g,All ADIs
Net interest income ($m),2006-06-30,9115.8,Tab 1g,All ADIs
Net interest income ($m),2006-09-30,9944.5,Tab 1g,All ADIs
Net interest income ($m),2006-12-31,10154.7,Tab 1g,All ADIs
Net interest income ($m),2007-03-31,9875.8,Tab 1g,All ADIs
Net interest income ($m),2007-06-30,10488.4,Tab 1g,All ADIs
Net interest income ($m),2007-09-30,10360,Tab 1g,All ADIs
Net interest income ($m),2007-12-31,10812.5,Tab 1g,All ADIs
Net interest income ($m),2008-03-31,11708.5,Tab 1g,All ADIs
Net interest income ($m),2008-06-30,10940.1,Tab 1g,All ADIs
Net interest income ($m),2008-09-30,12073.5,Tab 1g,All ADIs
Net interest income ($m),2008-12-31,13355.4,Tab 1g,All ADIs
Net interest income ($m),2009-03-31,12973.9,Tab 1g,All ADIs
Net interest income ($m),2009-06-30,13948.5,Tab 1g,All ADIs
Net interest income ($m),2009-09-30,13975.6,Tab 1g,All ADIs
Net interest income ($m),2009-12-31,14458.8,Tab 1g,All ADIs
Net interest income ($m),2010-03-31,13522.2,Tab 1g,All ADIs
Net interest income ($m),2010-06-30,14038.2,Tab 1g,All ADIs
Net interest income ($m),2010-09-30,14080.9,Tab 1g,All ADIs
Net interest income ($m),2010-12-31,14662,Tab 1g,All ADIs
Net interest income ($m),2011-03-31,14936.1,Tab 1g,All ADIs
Net interest income ($m),2011-06-30,15266.5,Tab 1g,All ADIs
Net interest income ($m),2011-09-30,15507.7,Tab 1g,All ADIs
Net interest income ($m),2011-12-31,15229.7,Tab 1g,All ADIs
Net interest income ($m),2012-03-31,15061.1,Tab 1g,All ADIs
Net interest income ($m),2012-06-30,15437.4,Tab 1g,All ADIs
Net interest income ($m),2012-09-30,15354.4,Tab 1g,All ADIs
Net interest income ($m),2012-12-31,15674.3,Tab 1g,All ADIs
Net interest income ($m),2013-03-31,15745.9,Tab 1g,All ADIs
Net interest income ($m),2013-06-30,16367.3,Tab 1g,All ADIs
Net interest income ($m),2013-09-30,16457.5,Tab 1g,All ADIs
Net interest income ($m),2013-12-31,16604.2,Tab 1g,All ADIs
Net interest income ($m),2014-03-31,16830.4,Tab 1g,All ADIs
Net interest income ($m),2014-06-30,17134.8,Tab 1g,All ADIs
Net interest income ($m),2014-09-30,17597.2,Tab 1g,All ADIs
Net interest income ($m),2014-12-31,17784.2,Tab 1g,All ADIs
Net interest income ($m),2015-03-31,17604.3,Tab 1g,All ADIs
Net interest income ($m),2015-06-30,17730.8,Tab 1g,All ADIs
Net interest income ($m),2015-09-30,18083,Tab 1g,All ADIs
Net interest income ($m),2015-12-31,18505.5,Tab 1g,All ADIs
Net interest income ($m),2016-03-31,17652.5,Tab 1g,All ADIs
Net interest income ($m),2016-06-30,18784.9,Tab 1g,All ADIs
Net interest income ($m),2016-09-30,18350.1,Tab 1g,All ADIs
Net interest income ($m),2016-12-31,18710.1,Tab 1g,All ADIs
Net interest income ($m),2017-03-31,18109.2,Tab 1g,All ADIs
Net interest income ($m),2017-06-30,18948,Tab 1g,All ADIs
Net interest income ($m),2017-09-30,19350.3,Tab 1g,All ADIs
Net interest income ($m),2017-12-31,19444,Tab 1g,All ADIs
Net interest income ($m),2018-03-31,19374.3,Tab 1g,All ADIs
Net interest income ($m),2018-06-30,19251.9,Tab 1g,All ADIs
Net interest income ($m),2018-09-30,19428.3,Tab 1g,All ADIs
Net interest income ($m),2018-12-31,19451.6,Tab 1g,All ADIs
Net interest income ($m),2019-03-31,19177.2,Tab 1g,All ADIs
Net interest income ($m),2019-06-30,19633.9,Tab 1g,All ADIs
Net interest income ($m),2019-09-30,19474.9,Tab 1g,All ADIs
Net interest income ($m),2019-12-31,19707.9,Tab 1g,All ADIs
Net interest income ($m),2020-03-31,20363.6,Tab 1g,All ADIs
Net interest income ($m),2020-06-30,19310.2,Tab 1g,All ADIs
Net interest income ($m),2020-09-30,18951.6,Tab 1g,All ADIs
Net interest income ($m),2020-12-31,19565.5,Tab 1g,All ADIs
Net interest income ($m),2021-03-31,20053.1,Tab 1g,All ADIs
Net interest income ($m),2021-06-30,20080.6,Tab 1g,All ADIs
Net interest income ($m),2021-09-30,20232.7,Tab 1g,All ADIs
Net interest income ($m),2021-12-31,20710.8,Tab 1g,All ADIs
Net interest income ($m),2022-03-31,19632.1,Tab 1g,All ADIs
Net interest income ($m),2022-06-30,20707.1,Tab 1g,All ADIs
Net interest income ($m),2022-09-30,23025.6,Tab 1g,All ADIs
Net interest income ($m),2022-12-31,24411.4,Tab 1g,All ADIs
Net interest income ($m),2023-03-31,23240.1,Tab 1g,All ADIs
Net interest income ($m),2023-06-30,23748.9,Tab 1g,All ADIs
Net interest income ($m),2023-09-30,23352.6,Tab 1g,All ADIs
Net interest income ($m),2023-12-31,23158.2,Tab 1g,All ADIs
Net interest income ($m),2024-03-31,23884,Tab 1g,All ADIs
Net interest income ($m),2024-06-30,23772.9,Tab 1g,All ADIs
Net interest income ($m),2024-09-30,23708.6,Tab 1g,All ADIs
Net interest income ($m),2024-12-31,24184.2,Tab 1g,All ADIs
Net interest income ($m),2025-03-31,24478.8,Tab 1g,All ADIs
Total operating income ($m),2004-09-30,14984,Tab 1g,All ADIs
Total operating income ($m),2004-12-31,16475.6,Tab 1g,All ADIs
Total operating income ($m),2005-03-31,17911,Tab 1g,All ADIs
Total operating income ($m),2005-06-30,16890.8,Tab 1g,All ADIs
Total operating income ($m),2005-09-30,17576.5,Tab 1g,All ADIs
Total operating income ($m),2005-12-31,16898.2,Tab 1g,All ADIs
Total operating income ($m),2006-03-31,18197.4,Tab 1g,All ADIs
Total operating income ($m),2006-06-30,17232.2,Tab 1g,All ADIs
Total operating income ($m),2006-09-30,19386.1,Tab 1g,All ADIs
Total operating income ($m),2006-12-31,19038.8,Tab 1g,All ADIs
Total operating income ($m),2007-03-31,19313.3,Tab 1g,All ADIs
Total operating income ($m),2007-06-30,21627.5,Tab 1g,All ADIs
Total operating income ($m),2007-09-30,22017.1,Tab 1g,All ADIs
Total operating income ($m),2007-12-31,21286.1,Tab 1g,All ADIs
Total operating income ($m),2008-03-31,21224.6,Tab 1g,All ADIs
Total operating income ($m),2008-06-30,20440.4,Tab 1g,All ADIs
Total operating income ($m),2008-09-30,20048.9,Tab 1g,All ADIs
Total operating income ($m),2008-12-31,24607.6,Tab 1g,All ADIs
Total operating income ($m),2009-03-31,24350.2,Tab 1g,All ADIs
Total operating income ($m),2009-06-30,21228,Tab 1g,All ADIs
Total operating income ($m),2009-09-30,22951.5,Tab 1g,All ADIs
Total operating income ($m),2009-12-31,24224,Tab 1g,All ADIs
Total operating income ($m),2010-03-31,22493.4,Tab 1g,All ADIs
Total operating income ($m),2010-06-30,24772.7,Tab 1g,All ADIs
Total operating income ($m),2010-09-30,23633.5,Tab 1g,All ADIs
Total operating income ($m),2010-12-31,24203.9,Tab 1g,All ADIs
Total operating income ($m),2011-03-31,21847.7,Tab 1g,All ADIs
Total operating income ($m),2011-06-30,21704.9,Tab 1g,All ADIs
Total operating income ($m),2011-09-30,22629.6,Tab 1g,All ADIs
Total operating income ($m),2011-12-31,23575.3,Tab 1g,All ADIs
Total operating income ($m),2012-03-31,22116.5,Tab 1g,All ADIs
Total operating income ($m),2012-06-30,22587.8,Tab 1g,All ADIs
Total operating income ($m),2012-09-30,23186.5,Tab 1g,All ADIs
Total operating income ($m),2012-12-31,23743.9,Tab 1g,All ADIs
Total operating income ($m),2013-03-31,23534.2,Tab 1g,All ADIs
Total operating income ($m),2013-06-30,25100.6,Tab 1g,All ADIs
Total operating income ($m),2013-09-30,24140.2,Tab 1g,All ADIs
Total operating income ($m),2013-12-31,25145.9,Tab 1g,All ADIs
Total operating income ($m),2014-03-31,24911.1,Tab 1g,All ADIs
