var,date,value,table,type
ADIs subject to liquidity coverage ratio (LCR) requirements,2015-03-31,NA,Tab 2e,LCR ADIs
ADIs subject to liquidity coverage ratio (LCR) requirements,2015-06-30,NA,Tab 2e,LCR ADIs
ADIs subject to liquidity coverage ratio (LCR) requirements,2015-09-30,NA,Tab 2e,LCR ADIs
ADIs subject to liquidity coverage ratio (LCR) requirements,2015-12-31,NA,Tab 2e,LCR ADIs
ADIs subject to liquidity coverage ratio (LCR) requirements,2016-03-31,NA,Tab 2e,LCR ADIs
ADIs subject to liquidity coverage ratio (LCR) requirements,2016-06-30,NA,Tab 2e,LCR ADIs
ADIs subject to liquidity coverage ratio (LCR) requirements,2016-09-30,NA,Tab 2e,LCR ADIs
ADIs subject to liquidity coverage ratio (LCR) requirements,2016-12-31,NA,Tab 2e,LCR ADIs
ADIs subject to liquidity coverage ratio (LCR) requirements,2017-03-31,NA,Tab 2e,LCR ADIs
ADIs subject to liquidity coverage ratio (LCR) requirements,2017-06-30,NA,Tab 2e,LCR ADIs
ADIs subject to liquidity coverage ratio (LCR) requirements,2017-09-30,NA,Tab 2e,LCR ADIs
ADIs subject to liquidity coverage ratio (LCR) requirements,2017-12-31,NA,Tab 2e,LCR ADIs
ADIs subject to liquidity coverage ratio (LCR) requirements,2018-03-31,NA,Tab 2e,LCR ADIs
ADIs subject to liquidity coverage ratio (LCR) requirements,2018-06-30,NA,Tab 2e,LCR ADIs
ADIs subject to liquidity coverage ratio (LCR) requirements,2018-09-30,NA,Tab 2e,LCR ADIs
ADIs subject to liquidity coverage ratio (LCR) requirements,2018-12-31,NA,Tab 2e,LCR ADIs
ADIs subject to liquidity coverage ratio (LCR) requirements,2019-03-31,NA,Tab 2e,LCR ADIs
ADIs subject to liquidity coverage ratio (LCR) requirements,2019-06-30,NA,Tab 2e,LCR ADIs
ADIs subject to liquidity coverage ratio (LCR) requirements,2019-09-30,NA,Tab 2e,LCR ADIs
ADIs subject to liquidity coverage ratio (LCR) requirements,2019-12-31,NA,Tab 2e,LCR ADIs
ADIs subject to liquidity coverage ratio (LCR) requirements,2020-03-31,NA,Tab 2e,LCR ADIs
ADIs subject to liquidity coverage ratio (LCR) requirements,2020-06-30,NA,Tab 2e,LCR ADIs
ADIs subject to liquidity coverage ratio (LCR) requirements,2020-09-30,NA,Tab 2e,LCR ADIs
ADIs subject to liquidity coverage ratio (LCR) requirements,2020-12-31,NA,Tab 2e,LCR ADIs
ADIs subject to liquidity coverage ratio (LCR) requirements,2021-03-31,NA,Tab 2e,LCR ADIs
ADIs subject to liquidity coverage ratio (LCR) requirements,2021-06-30,NA,Tab 2e,LCR ADIs
ADIs subject to liquidity coverage ratio (LCR) requirements,2021-09-30,NA,Tab 2e,LCR ADIs
ADIs subject to liquidity coverage ratio (LCR) requirements,2021-12-31,NA,Tab 2e,LCR ADIs
ADIs subject to liquidity coverage ratio (LCR) requirements,2022-03-31,NA,Tab 2e,LCR ADIs
ADIs subject to liquidity coverage ratio (LCR) requirements,2022-06-30,NA,Tab 2e,LCR ADIs
ADIs subject to liquidity coverage ratio (LCR) requirements,2022-09-30,NA,Tab 2e,LCR ADIs
ADIs subject to liquidity coverage ratio (LCR) requirements,2022-12-31,NA,Tab 2e,LCR ADIs
ADIs subject to liquidity coverage ratio (LCR) requirements,2023-03-31,NA,Tab 2e,LCR ADIs
ADIs subject to liquidity coverage ratio (LCR) requirements,2023-06-30,NA,Tab 2e,LCR ADIs
ADIs subject to liquidity coverage ratio (LCR) requirements,2023-09-30,NA,Tab 2e,LCR ADIs
ADIs subject to liquidity coverage ratio (LCR) requirements,2023-12-31,NA,Tab 2e,LCR ADIs
ADIs subject to liquidity coverage ratio (LCR) requirements,2024-03-31,NA,Tab 2e,LCR ADIs
ADIs subject to liquidity coverage ratio (LCR) requirements,2024-06-30,NA,Tab 2e,LCR ADIs
ADIs subject to liquidity coverage ratio (LCR) requirements,2024-09-30,NA,Tab 2e,LCR ADIs
ADIs subject to liquidity coverage ratio (LCR) requirements,2024-12-31,NA,Tab 2e,LCR ADIs
ADIs subject to liquidity coverage ratio (LCR) requirements,2025-03-31,NA,Tab 2e,LCR ADIs
LCR liquid assets,2015-03-31,NA,Tab 2e,LCR ADIs
LCR liquid assets,2015-06-30,NA,Tab 2e,LCR ADIs
LCR liquid assets,2015-09-30,NA,Tab 2e,LCR ADIs
LCR liquid assets,2015-12-31,NA,Tab 2e,LCR ADIs
LCR liquid assets,2016-03-31,NA,Tab 2e,LCR ADIs
LCR liquid assets,2016-06-30,NA,Tab 2e,LCR ADIs
LCR liquid assets,2016-09-30,NA,Tab 2e,LCR ADIs
LCR liquid assets,2016-12-31,NA,Tab 2e,LCR ADIs
LCR liquid assets,2017-03-31,NA,Tab 2e,LCR ADIs
LCR liquid assets,2017-06-30,NA,Tab 2e,LCR ADIs
LCR liquid assets,2017-09-30,NA,Tab 2e,LCR ADIs
LCR liquid assets,2017-12-31,NA,Tab 2e,LCR ADIs
LCR liquid assets,2018-03-31,NA,Tab 2e,LCR ADIs
LCR liquid assets,2018-06-30,NA,Tab 2e,LCR ADIs
LCR liquid assets,2018-09-30,NA,Tab 2e,LCR ADIs
LCR liquid assets,2018-12-31,NA,Tab 2e,LCR ADIs
LCR liquid assets,2019-03-31,NA,Tab 2e,LCR ADIs
LCR liquid assets,2019-06-30,NA,Tab 2e,LCR ADIs
LCR liquid assets,2019-09-30,NA,Tab 2e,LCR ADIs
LCR liquid assets,2019-12-31,NA,Tab 2e,LCR ADIs
LCR liquid assets,2020-03-31,NA,Tab 2e,LCR ADIs
LCR liquid assets,2020-06-30,NA,Tab 2e,LCR ADIs
LCR liquid assets,2020-09-30,NA,Tab 2e,LCR ADIs
LCR liquid assets,2020-12-31,NA,Tab 2e,LCR ADIs
LCR liquid assets,2021-03-31,NA,Tab 2e,LCR ADIs
LCR liquid assets,2021-06-30,NA,Tab 2e,LCR ADIs
LCR liquid assets,2021-09-30,NA,Tab 2e,LCR ADIs
LCR liquid assets,2021-12-31,NA,Tab 2e,LCR ADIs
LCR liquid assets,2022-03-31,NA,Tab 2e,LCR ADIs
LCR liquid assets,2022-06-30,NA,Tab 2e,LCR ADIs
LCR liquid assets,2022-09-30,NA,Tab 2e,LCR ADIs
LCR liquid assets,2022-12-31,NA,Tab 2e,LCR ADIs
LCR liquid assets,2023-03-31,NA,Tab 2e,LCR ADIs
LCR liquid assets,2023-06-30,NA,Tab 2e,LCR ADIs
LCR liquid assets,2023-09-30,NA,Tab 2e,LCR ADIs
LCR liquid assets,2023-12-31,NA,Tab 2e,LCR ADIs
LCR liquid assets,2024-03-31,NA,Tab 2e,LCR ADIs
LCR liquid assets,2024-06-30,NA,Tab 2e,LCR ADIs
LCR liquid assets,2024-09-30,NA,Tab 2e,LCR ADIs
LCR liquid assets,2024-12-31,NA,Tab 2e,LCR ADIs
LCR liquid assets,2025-03-31,NA,Tab 2e,LCR ADIs
High quality liquid assets (HQLA),2015-03-31,NA,Tab 2e,LCR ADIs
High quality liquid assets (HQLA),2015-06-30,NA,Tab 2e,LCR ADIs
High quality liquid assets (HQLA),2015-09-30,NA,Tab 2e,LCR ADIs
High quality liquid assets (HQLA),2015-12-31,NA,Tab 2e,LCR ADIs
High quality liquid assets (HQLA),2016-03-31,NA,Tab 2e,LCR ADIs
High quality liquid assets (HQLA),2016-06-30,NA,Tab 2e,LCR ADIs
High quality liquid assets (HQLA),2016-09-30,NA,Tab 2e,LCR ADIs
High quality liquid assets (HQLA),2016-12-31,NA,Tab 2e,LCR ADIs
High quality liquid assets (HQLA),2017-03-31,NA,Tab 2e,LCR ADIs
High quality liquid assets (HQLA),2017-06-30,NA,Tab 2e,LCR ADIs
High quality liquid assets (HQLA),2017-09-30,NA,Tab 2e,LCR ADIs
High quality liquid assets (HQLA),2017-12-31,NA,Tab 2e,LCR ADIs
High quality liquid assets (HQLA),2018-03-31,NA,Tab 2e,LCR ADIs
High quality liquid assets (HQLA),2018-06-30,NA,Tab 2e,LCR ADIs
High quality liquid assets (HQLA),2018-09-30,NA,Tab 2e,LCR ADIs
High quality liquid assets (HQLA),2018-12-31,NA,Tab 2e,LCR ADIs
High quality liquid assets (HQLA),2019-03-31,NA,Tab 2e,LCR ADIs
High quality liquid assets (HQLA),2019-06-30,NA,Tab 2e,LCR ADIs
High quality liquid assets (HQLA),2019-09-30,NA,Tab 2e,LCR ADIs
High quality liquid assets (HQLA),2019-12-31,NA,Tab 2e,LCR ADIs
High quality liquid assets (HQLA),2020-03-31,NA,Tab 2e,LCR ADIs
High quality liquid assets (HQLA),2020-06-30,NA,Tab 2e,LCR ADIs
High quality liquid assets (HQLA),2020-09-30,NA,Tab 2e,LCR ADIs
High quality liquid assets (HQLA),2020-12-31,NA,Tab 2e,LCR ADIs
High quality liquid assets (HQLA),2021-03-31,NA,Tab 2e,LCR ADIs
High quality liquid assets (HQLA),2021-06-30,NA,Tab 2e,LCR ADIs
High quality liquid assets (HQLA),2021-09-30,NA,Tab 2e,LCR ADIs
High quality liquid assets (HQLA),2021-12-31,NA,Tab 2e,LCR ADIs
High quality liquid assets (HQLA),2022-03-31,NA,Tab 2e,LCR ADIs
High quality liquid assets (HQLA),2022-06-30,NA,Tab 2e,LCR ADIs
High quality liquid assets (HQLA),2022-09-30,NA,Tab 2e,LCR ADIs
High quality liquid assets (HQLA),2022-12-31,NA,Tab 2e,LCR ADIs
High quality liquid assets (HQLA),2023-03-31,NA,Tab 2e,LCR ADIs
High quality liquid assets (HQLA),2023-06-30,NA,Tab 2e,LCR ADIs
High quality liquid assets (HQLA),2023-09-30,NA,Tab 2e,LCR ADIs
High quality liquid assets (HQLA),2023-12-31,NA,Tab 2e,LCR ADIs
High quality liquid assets (HQLA),2024-03-31,NA,Tab 2e,LCR ADIs
High quality liquid assets (HQLA),2024-06-30,NA,Tab 2e,LCR ADIs
High quality liquid assets (HQLA),2024-09-30,NA,Tab 2e,LCR ADIs
High quality liquid assets (HQLA),2024-12-31,NA,Tab 2e,LCR ADIs
High quality liquid assets (HQLA),2025-03-31,NA,Tab 2e,LCR ADIs
HQLA1,2015-03-31,341233.8,Tab 2e,LCR ADIs
HQLA1,2015-06-30,340001.8,Tab 2e,LCR ADIs
HQLA1,2015-09-30,351289.3,Tab 2e,LCR ADIs
HQLA1,2015-12-31,396483.6,Tab 2e,LCR ADIs
HQLA1,2016-03-31,381941.9,Tab 2e,LCR ADIs
HQLA1,2016-06-30,385309.7,Tab 2e,LCR ADIs
HQLA1,2016-09-30,379783.3,Tab 2e,LCR ADIs
HQLA1,2016-12-31,419792.4,Tab 2e,LCR ADIs
HQLA1,2017-03-31,427776.9,Tab 2e,LCR ADIs
HQLA1,2017-06-30,422366,Tab 2e,LCR ADIs
HQLA1,2017-09-30,NA,Tab 2e,LCR ADIs
HQLA1,2017-12-31,NA,Tab 2e,LCR ADIs
HQLA1,2018-03-31,NA,Tab 2e,LCR ADIs
HQLA1,2018-06-30,NA,Tab 2e,LCR ADIs
HQLA1,2018-09-30,NA,Tab 2e,LCR ADIs
HQLA1,2018-12-31,NA,Tab 2e,LCR ADIs
HQLA1,2019-03-31,NA,Tab 2e,LCR ADIs
HQLA1,2019-06-30,NA,Tab 2e,LCR ADIs
HQLA1,2019-09-30,440643.9,Tab 2e,LCR ADIs
HQLA1,2019-12-31,449921.3,Tab 2e,LCR ADIs
HQLA1,2020-03-31,590924.9,Tab 2e,LCR ADIs
HQLA1,2020-06-30,552152.6,Tab 2e,LCR ADIs
HQLA1,2020-09-30,621458.8,Tab 2e,LCR ADIs
HQLA1,2020-12-31,641095.7,Tab 2e,LCR ADIs
HQLA1,2021-03-31,637612.7,Tab 2e,LCR ADIs
HQLA1,2021-06-30,745246.3,Tab 2e,LCR ADIs
HQLA1,2021-09-30,768853.9,Tab 2e,LCR ADIs
HQLA1,2021-12-31,860676.7,Tab 2e,LCR ADIs
HQLA1,2022-03-31,842001.9,Tab 2e,LCR ADIs
HQLA1,2022-06-30,894488.5,Tab 2e,LCR ADIs
HQLA1,2022-09-30,900517,Tab 2e,LCR ADIs
HQLA1,2022-12-31,930249.9,Tab 2e,LCR ADIs
HQLA1,2023-03-31,964640.9,Tab 2e,LCR ADIs
HQLA1,2023-06-30,940308,Tab 2e,LCR ADIs
HQLA1,2023-09-30,908321.9,Tab 2e,LCR ADIs
HQLA1,2023-12-31,935774.4,Tab 2e,LCR ADIs
HQLA1,2024-03-31,914724.5,Tab 2e,LCR ADIs
HQLA1,2024-06-30,893563.6,Tab 2e,LCR ADIs
HQLA1,2024-09-30,900822.4,Tab 2e,LCR ADIs
HQLA1,2024-12-31,962802.6,Tab 2e,LCR ADIs
HQLA1,2025-03-31,958560.3,Tab 2e,LCR ADIs
Notes and coin,2015-03-31,10637.8,Tab 2e,LCR ADIs
Notes and coin,2015-06-30,8837.2,Tab 2e,LCR ADIs
Notes and coin,2015-09-30,8744.1,Tab 2e,LCR ADIs
Notes and coin,2015-12-31,11582.1,Tab 2e,LCR ADIs
Notes and coin,2016-03-31,9826.3,Tab 2e,LCR ADIs
Notes and coin,2016-06-30,8222.5,Tab 2e,LCR ADIs
Notes and coin,2016-09-30,9670.9,Tab 2e,LCR ADIs
Notes and coin,2016-12-31,9766.5,Tab 2e,LCR ADIs
Notes and coin,2017-03-31,8059.9,Tab 2e,LCR ADIs
Notes and coin,2017-06-30,7557.1,Tab 2e,LCR ADIs
Notes and coin,2017-09-30,NA,Tab 2e,LCR ADIs
Notes and coin,2017-12-31,NA,Tab 2e,LCR ADIs
Notes and coin,2018-03-31,NA,Tab 2e,LCR ADIs
Notes and coin,2018-06-30,NA,Tab 2e,LCR ADIs
Notes and coin,2018-09-30,NA,Tab 2e,LCR ADIs
Notes and coin,2018-12-31,NA,Tab 2e,LCR ADIs
Notes and coin,2019-03-31,NA,Tab 2e,LCR ADIs
Notes and coin,2019-06-30,NA,Tab 2e,LCR ADIs
Notes and coin,2019-09-30,7800.4,Tab 2e,LCR ADIs
Notes and coin,2019-12-31,9060,Tab 2e,LCR ADIs
Notes and coin,2020-03-31,10440.8,Tab 2e,LCR ADIs
Notes and coin,2020-06-30,7806.1,Tab 2e,LCR ADIs
Notes and coin,2020-09-30,8210.1,Tab 2e,LCR ADIs
Notes and coin,2020-12-31,9248,Tab 2e,LCR ADIs
Notes and coin,2021-03-31,8281.6,Tab 2e,LCR ADIs
Notes and coin,2021-06-30,6750,Tab 2e,LCR ADIs
Notes and coin,2021-09-30,6403.6,Tab 2e,LCR ADIs
Notes and coin,2021-12-31,7425.1,Tab 2e,LCR ADIs
Notes and coin,2022-03-31,7045.9,Tab 2e,LCR ADIs
